company,product,year,artist,song_title,spotify_id
Apple,iPod,2005,Jet,Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6
Chevy,Silverado,2006,John Mellencamp,Our Country,5p53PF8DpDlAe7I9zXwirD
AT&T,Eclipse,2006,Oasis,All Around The World,1B0l38spcI4BXkGJkq8ksb
Diet Coke,Light It Up,2006,Paul Oakenfold,Starry Eyed Surprise,6A4Kuy7JL0Znab3Skgloiv
Geico,Airport,2006,Royksopp,Remind me,1Y4czhrqEKRWp9ruH9GNAm
Ford,GT,2006,U2,Where The Streets Have No Name,4qgZs0RNjdzKAS22lP0QjY
Ford,Edge,2007,Band Of Horses,The Funeral,27IZXTdeGYjU6m5lTyDpmr
Chevy Trucks,Like A Rock,2007,Bob Seger,Like A Rock,5Jno63iv0mzu5OZ28asYbE
Dell,XPS MI330,2007,Devo,Watch Us Work It,4rMp5DlLDtZYwBvsT8XUGz
Target,Blue,2007,Devo,Beautiful World,4oxqiNsFxFEJzUf8P5nJmc
Doubletree,Calm Cool Relaxed,2007,Dinah Washington,Relax Max,0QLpZHLY9rGbzyrWPqWwhX
GE,Wind Energy,2007,Donovan,Catch The Wind,7cyOTirNS1rXygPulz9WR3
Nivea,Sun,2007,Duffy,Oh Boy,4ySE7RwpQaDMIizneAjaGJ
Apple,iPod nano,2007,Feist,1234,2CzWeyC9zlDpIOZPUUKrBW
Heineken,Unchanged Since 1873,2007,George Baker Selection,Little Green Bag,5dmlMfZajWNbUskAg9CN3V
Honda,Odyssey,2007,Heart,Barracuda,4KfSdst7rW39C0sfhArdrz
Liberty Mutual,The Part Where You Let Go,2007,Hem,The Part Where You Let Go,2eB0phjxsbsRapssYY9fJc
Old Navy,'Sweaters,2007,Ingrid Michaelson,The Way I Am,43ddJFnP8m3PzNJXiHuiyJ
Saab,09-Mar,2007,Nina Kinert,Thru Your Eyes,7ElxEj7qwmhIQ404xXJQ1T
Apple,iPhone,2007,Orba Squara,Perfect Timing (This Morning),6dYKdMfTAaLrrZ3TPIJrqT
UPS,International Shipping,2007,Postal Service,Such Great Heights,27LyQFdQbui4TnRs05cZ8C
