danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,spotify_id,duration_ms,time_signature
0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,audio_features,305WCRhhS10XUcH6AEwZk6,213800,4
0.504,0.754,7,-4.943,1,0.031,0.00839,0,0.0964,0.497,108.184,audio_features,5p53PF8DpDlAe7I9zXwirD,226627,4
0.336,0.815,9,-3.138,1,0.05,0.156,0.000304,0.701,0.31,82.079,audio_features,1B0l38spcI4BXkGJkq8ksb,559200,4
0.721,0.794,4,-6.134,1,0.132,0.0195,0.00013,0.283,0.562,103.211,audio_features,6A4Kuy7JL0Znab3Skgloiv,228493,4
0.827,0.518,7,-10.018,0,0.046,0.0793,0.331,0.101,0.909,122.477,audio_features,1Y4czhrqEKRWp9ruH9GNAm,216667,4
0.495,0.728,2,-9.549,1,0.0385,0.011,0.00353,0.151,0.218,125.81,audio_features,4qgZs0RNjdzKAS22lP0QjY,337506,4
0.316,0.769,0,-5.283,0,0.0422,0.0142,0,0.0928,0.127,122.507,audio_features,27IZXTdeGYjU6m5lTyDpmr,321147,4
0.399,0.645,1,-5.356,1,0.0271,0.112,0.000551,0.255,0.384,82.795,audio_features,5Jno63iv0mzu5OZ28asYbE,355798,4
0.785,0.912,4,-3.462,1,0.0693,0.135,0,0.441,0.972,143.002,audio_features,4rMp5DlLDtZYwBvsT8XUGz,120275,4
0.644,0.451,4,-12.758,1,0.0273,0.255,0.000278,0.11,0.443,149.381,audio_features,4oxqiNsFxFEJzUf8P5nJmc,215787,4
0.636,0.741,5,-6.666,1,0.152,0.804,0,0.108,0.921,125.068,audio_features,0QLpZHLY9rGbzyrWPqWwhX,165999,4
0.385,0.306,3,-12.167,1,0.0297,0.452,7.43E-06,0.128,0.546,173.377,audio_features,7cyOTirNS1rXygPulz9WR3,173813,3
0.582,0.154,11,-10.698,1,0.028,0.92,0.000798,0.103,0.436,84.225,audio_features,4ySE7RwpQaDMIizneAjaGJ,148893,4
0.71,0.491,2,-7.382,1,0.0504,0.219,1.99E-06,0.0859,0.638,109.933,audio_features,2CzWeyC9zlDpIOZPUUKrBW,183667,4
0.708,0.663,7,-12.344,1,0.0327,0.0485,0.000441,0.0725,0.88,103.466,audio_features,5dmlMfZajWNbUskAg9CN3V,195467,4
0.547,0.691,4,-13.553,0,0.0369,0.015,0.105,0.144,0.667,137.148,audio_features,4KfSdst7rW39C0sfhArdrz,261933,4
0.385,0.2,5,-9.196,1,0.0294,0.661,0,0.103,0.14,102.756,audio_features,2eB0phjxsbsRapssYY9fJc,224907,4
0.877,0.259,5,-9.302,1,0.0427,0.771,8.98E-06,0.108,0.32,119.989,audio_features,43ddJFnP8m3PzNJXiHuiyJ,135387,4
0.474,0.255,6,-11.976,1,0.0349,0.932,3.04E-05,0.0996,0.15,104.175,audio_features,7ElxEj7qwmhIQ404xXJQ1T,164440,4
0.659,0.315,8,-8.998,1,0.0355,0.67,0.81,0.124,0.0935,85.043,audio_features,6dYKdMfTAaLrrZ3TPIJrqT,212893,4
0.651,0.816,5,-7.149,1,0.0507,0.0439,0.186,0.065,0.201,174.978,audio_features,27LyQFdQbui4TnRs05cZ8C,266507,4
0.686,0.95,2,-5.134,1,0.0439,0.000917,0,0.136,0.769,129.982,audio_features,1fC0ePLzahIVzkA6wUMBrC,208467,4
0.622,0.843,0,-5.197,1,0.0279,9.45E-05,0.0143,0.137,0.723,132.966,audio_features,5GCrohHtJUP5sRGPCc3e0F,268293,4
0.664,0.194,2,-16.589,1,0.0472,0.881,2.80E-06,0.103,0.372,116.143,audio_features,3dkCt4XOWjiTz3Bp2B5xRJ,99067,3
0.371,0.332,2,-8.212,1,0.0318,0.865,0.322,0.0966,0.237,122.76,audio_features,57gVQIxPQbA4md59d4FqEU,222520,5
0.593,0.549,0,-6.394,1,0.0329,0.151,0.000393,0.43,0.396,147.554,audio_features,3qCHUm73I3o5F1mDEfibzo,178840,4
0.456,0.977,7,-4.603,1,0.0786,0.126,0.541,0.128,0.577,96.307,audio_features,32VPND9HN4aQXhGxqPPQQx,444173,4
0.393,0.897,10,-4.474,1,0.0335,0.00178,0,0.102,0.714,157.912,audio_features,1jE2cqT0pVXaJZaQm7LSED,208253,4
0.535,0.842,7,-6.735,1,0.0279,0.0166,0.677,0.178,0.895,122.684,audio_features,0SMkzFGJOBFDI9KfYD55L0,162122,4
0.544,0.192,11,-14.586,1,0.0307,0.862,0.00017,0.114,0.297,95.683,audio_features,73fPLLzWR7u28yITfxP6D2,182280,4
0.584,0.737,11,-5.376,1,0.0281,0.168,1.02E-06,0.266,0.848,132.1,audio_features,6NXwEqaN3OfFkh8nqis7bq,180267,4
0.704,0.907,1,-6.408,0,0.0373,0.11,0.00982,0.334,0.712,95.023,audio_features,4tdGyzQ3WqygwxOEpbQ8eo,229113,4
0.778,0.575,1,-8.913,0,0.029,0.146,5.10E-05,0.708,0.642,102.007,audio_features,3CFB9s2w9AHCL2wyVvJZfX,279187,4
0.373,0.869,4,-7.719,1,0.0554,0.164,7.76E-06,0.605,0.696,184.024,audio_features,6N0AnkdDFZUetw8KAGHV7e,221400,4
0.686,0.649,7,-12.935,1,0.0642,0.00623,0.0625,0.0592,0.76,109.984,audio_features,6J8IwGX3oHi7x9B57vmMMW,164533,4
0.638,0.452,9,-9.616,1,0.0297,0.608,0.0577,0.112,0.341,100.105,audio_features,6z2qa2dnJDXgVTngG4gFu7,152947,4
0.524,0.752,0,-9.341,1,0.036,0.00288,0.000182,0.132,0.685,134.11,audio_features,4rwX1khm2AMKjMxQW28pPt,211653,4
0.579,0.554,0,-7.08,1,0.0587,0.0175,0.0221,0.101,0.838,185.183,audio_features,4mdyVTV7Tr5YDFnD2kvSM4,241467,4
0.747,0.792,11,-12.483,1,0.0986,0.372,0.000146,0.212,0.971,76.896,audio_features,6JgiJMhxI1DAsFOL5jHiIN,149839,4
0.768,0.669,9,-3.84,0,0.046,0.0184,0.0331,0.0838,0.569,84.994,audio_features,4Nrg8EG7wWTiTOumtpw8gk,257093,4
0.442,0.951,11,-5.27,1,0.11,0.00648,1.12E-06,0.0887,0.158,154.004,audio_features,42GP0xKtkolBnmqQRvSllO,374973,4
0.485,0.619,5,-7.115,0,0.0289,0.0941,3.31E-06,0.109,0.416,138.017,audio_features,1mea3bSkSGXuIRvnydlB5b,242373,4
0.464,0.579,5,-9.136,1,0.0596,0.281,0.827,0.0992,0.14,171.752,audio_features,0gYrCS1xKsQlMY38hbpxb7,329733,4
0.812,0.516,9,-6.963,1,0.224,0.000369,1.09E-05,0.0991,0.633,127.498,audio_features,0LSLM0zuWRkEYemF7JcfEE,284280,4
0.562,0.402,5,-11.014,1,0.0348,0.177,0.00157,0.246,0.558,188.952,audio_features,1XEniZWDwqkJVSt7DJpbkR,154840,3
0.771,0.491,5,-7.739,1,0.0339,0.039,4.62E-06,0.2,0.732,125.065,audio_features,7gj4q3ENYSuqI5J1k71NZv,147267,4
0.497,0.91,3,-6.918,1,0.0699,0.00913,0.00358,0.689,0.397,140.393,audio_features,2TM3jEaMr9cuLuoGbsYFfX,222413,4
0.891,0.559,4,-8.375,0,0.194,0.00885,0.0372,0.0536,0.468,126.012,audio_features,2G4k9wS5mFHeqzwuyDTVlw,232507,4
0.542,0.82,3,-10.982,1,0.0512,0.198,0.00172,0.0497,0.762,116.666,audio_features,3bkcq1VrFlcoqa04VBs4J8,214047,4
0.574,0.338,6,-11.376,1,0.042,0.845,0,0.165,0.493,67.008,audio_features,4hHbeIIKO5Y5uLyIEbY9Gn,199093,4
0.723,0.864,11,-5.209,0,0.174,0.00822,1.90E-05,0.0943,0.683,128.398,audio_features,1VO3bxSqFvUdMVr3IFwAwT,223027,4
0.459,0.727,0,-11.777,1,0.0303,0.00614,0.065,0.384,0.954,149.229,audio_features,6s0NHplywwr1IjnQpUpWJk,292173,1
0.296,0.432,5,-8.677,1,0.0316,0.00059,0.899,0.237,0.216,88.13,audio_features,1tMHDdJEz8MFrkPFgwFACG,200667,4
0.683,0.772,7,-7.907,0,0.0311,0.0222,0.0149,0.203,0.737,123.871,audio_features,2ahnofp2LbBWDXcJbMaSTu,270373,4
0.69,0.801,7,-5.944,0,0.0327,0.0207,0.00399,0.277,0.726,123.864,audio_features,4v6jydWBTAIqnyPVNyOAdc,269373,4
0.446,0.882,7,-6.413,1,0.0384,0.00125,0.368,0.114,0.281,139.99,audio_features,7CCVEEsrswFR9bVGXDrFCb,230467,4
0.572,0.836,11,-3.159,1,0.0867,0.0247,0.000221,0.159,0.726,127.667,audio_features,6Xprc4GuCejWA3BjU5knyw,226520,4
0.742,0.24,5,-9.587,1,0.0699,0.944,0,0.107,0.464,122.034,audio_features,7iHNTbx0tcQuR7YtHTgztV,233627,4
0.54,0.434,4,-16.707,0,0.0476,0.0317,0.0145,0.921,0.929,163.124,audio_features,2BlaUfBTbWG50DoZHBD1uV,185493,4
0.741,0.828,0,-5.048,1,0.0441,0.012,0.000675,0.1,0.235,116.01,audio_features,1qE7wViqFLNOtblqSGJNtu,173007,4
0.528,0.797,9,-5.387,1,0.044,0.0792,0,0.327,0.877,160.848,audio_features,3Fc5OiXuy3pgmLLdoDQqjX,179427,4
0.486,0.447,9,-13.711,1,0.055,0.769,0,0.0851,0.896,184.2,audio_features,5w1cpYbLfSVqT2bCUA1URF,173253,4
