N,Advertiser,Product,Artist,Song,Year,Title,Link,RawInfo
1,DICK’S Sporting Goods,,Samm Henshaw feat. EARTHGANG,Church,2019,2019 DICK’S Sporting Goods Commercial – Song by Samm Henshaw,https://www.tvadvertmusic.com/video-dicks-sporting-goods-commercial-henshaw/,"DICK’S Sporting Goods have just released a pair of new TV commercials titled ‘Her Year Starts Here’ and ‘His Year Starts Here’.Filmed following the two actors different points of view and both featuring the slogan ‘Every Season Starts At DICK’S Sporting Goods’, the ad videos crossover as they show male and female students shopping and preparing for the year ahead.Ad Song: Church. Artist: Samm Henshaw feat. EARTHGANG.Download or stream in full from Amazon.This Summer 2019 DICK’S Sporting Goods commercial music is an instrumental section of a song called ‘Church’. The track was recorded by British singer-songwriter and producer Samm Henshaw, featuring Atlanta-based duo EARTHGANG, and was released for download as a full-length single earlier this year.August 2 2019"
2,Rocket Mortgage By Quicken Loans,,Bob Dylan,The Man in Me,2019,Rocket Mortgage By Quicken Loans Commercial Song – Pool,https://www.tvadvertmusic.com/video-rocket-mortgage-quicken-loans-pool/,"This latest commercial from Quicken Loans promotes the companies Rocket Mortgage, describing the service as simple as “Push Button. Get Mortgage”.The ad video shows a man relaxing as he floats around on his home swimming pool while the voice-over tells viewers “Home, it’s so much more than a house. It’s your own personal oasis”.Ad Music: The Man in Me. Artist: Bob Dylan.Download or stream from Amazon.Featuring the lyrics “La la la la”, this 2019 Rocket Mortgage by Quicken Loans commercial song is ‘The Man in Me’ by Bob Dylan. The American singer-songwriter and musician recorded this song in 1970 and released it as part of his 11th studio album ‘New Morning’.30 July 2019"
3,Starbucks Nitro,,Jungle,The Heat,2019,2019 Starbucks Nitro Commercial Song – Can’t Feel The Heat,https://www.tvadvertmusic.com/video-starbucks-nitro-cold-commercial/,"For those of you looking to get your caffeine and coffee fix while also attempting to cool off during the hot weather, Starbucks is now selling the Nitro Cold Brew for Summer 2019.According to this commercial video, the drink offers customers a taste that’s “Velvety smooth. Sweet without sweetener” and “Creamy without cream”.Advert Music: The Heat. Artist: Jungle.Download or stream from Amazon.Featuring the fitting lyrics “No I, I can’t feel the heat”, this Nitro Cold Brew Summer 2019 Starbucks commercial song is a track called ‘The Heat’ that was released in 2013. The single was recorded by British modern soul musical collective Jungle, who consist of members Josh Lloyd-Watson and Tom McFarland, and is taken from the artist’s self-titled album.July 29 2019"
4,Gap Back To School,,Guns N’ Roses,Sweet Child o’ Mine,2019,2019 Gap Back To School Commercial Song – Sweet Child o’ Mine,https://www.tvadvertmusic.com/video-gap-back-school-commercial-sweet-child/,"Gap showcase some of their 2019 Back to School kids clothing range in this #GapToSchool ‘Rock Anthem’ TV commercial. The 60-second video shows children playing basketball, skateboarding and playing musical instruments in a band, although not at the same time.Advert Music: Sweet Child o’ Mine. Artist: Guns N’ Roses.Download or stream in full from Amazon.Minus that iconic guitar solo, this ‘GapToSchool’ 2019 Gap commercial song is the rock classic ‘Sweet Child o’ Mine’. The single was released by Guns N’ Roses in 1988 and features on the Los Angeles band’s now-legendary debut album ‘Appetite for Destruction’.July 22 2019"
5,INFINITI + Summer Sales Event,,Moonlight Breakfast,Summer,2019,"2019 INFINITI + Summer Sales Event Commercial Song – QX50, QX60, QX80 & SUV",https://www.tvadvertmusic.com/video-infiniti-plus-summer-sales-event/,"INFINITI USA has just released four new TV commercials to promote their 2019 + Summer Sales Event, with each ad focusing on a different model of the manufacturer’s current range.Starring different actors in unique locations, one video showcases the brands SUV’s, while the others focus on the QX50, QX60 and QX80 vehicles.Ad Music: Summer. Artist: Moonlight Breakfast.Download or stream from Amazon.This Summer Sales Event INFINITI commercial song that features in each version of the ad is a track called ‘Summer’. This piece of music was recorded by mixed-genre Romainian band Moonlight Breakfast and was released for download by the Bucharest trio back in April of this year. This tune can now also be found on the various artist’s album ‘Heard Well Collection, Vol. 11’.July 19 2019"
6,BMW Sales Event,,The Lovin’ Spoonful,Summer in the City,2019,2019 BMW Sales Event Commercial Song – Summer in the City,https://www.tvadvertmusic.com/video-bmw-summer-city-sales-event/,"BMW USA has released this new ‘Thank You Driving’ TV commercial to promote its Summer On Sales Event, which offers up to $4,500 credit on selected models until the end of July.The ad video features a voiceover saying “Thank you to everything that gets in the way of our love of driving because you inspire our innovations. . . Summer starts now” and shows the likes of BMW’s Extended Traffic Jam Assistant, Back-Up Assistant, and Parking Assistant Plus in action.Ad Music: Summer in the City. Artist: The Lovin’ Spoonful.Download or stream from Amazon.This 2019 Summer Sales Event BMW commercial song is that classic 60’s tune ‘Summer in the City’ that was recorded by New York pop-rock band The Lovin’ Spoonful. Released in 1966, the single topped the US Billboard Hot 100 chart.July 3 2019"
7,Walmart Back to School,,Fitz & The Tantrums,I Just Wanna Shine,2019,2019 Walmart Back to School Commercial Song – Go Back Big,https://www.tvadvertmusic.com/walmart-back-to-school-commercial-go-back-big/,"Walmart’s new 2019 Back to School commercial gives new meaning to the phrase ‘big kids’ as it shows giant children walking and skating through the city on their way back to class.The Walmart ad video shows these larger than life youngsters wearing and carrying such items as Monster Jam Canvas Shoes, Yoobi Spiral Notebooks, Cra-Z-Art Colored Pencils, Wonder Nation Court Sneakers, and a Mermaid Binder Pouch. The ad spot finishes with the voiceover saying “Get everything you need to go back big at the low prices you love”.Ad Music: I Just Wanna Shine. Artist: Fitz & The Tantrums.Download or stream in full from Amazon.Featuring such suitable lyrics as “Run the city from the rooftops” and “I just wanna climb to the top of a mountain”, this Back to School 2019 Walmart commercial song is titled ‘I Just Wanna Shine’. The track was recorded by Californian indie pop and neo-soul band Fitz and The Tantrums and is taken from their latest album ‘All the Feels’. The full-length version of this song is now available to stream or download via Amazon.July 15 2019"
8,Downy Free & Gentle,,Angelo De Augustine,Time,2019,Downy Free & Gentle Commercial Song – Sweatshirt,https://www.tvadvertmusic.com/downy-free-gentle-commercial/,"In contrast to the brand’s recent funny ‘Still Fresh’ TV ad for their unstoppable in-wash scent boosters, this new commercial for Downy Free & Gentle switches comedy for cuteness.The video shows a young girl just about managing to put on a sweatshirt straight from the laundry basket while the voiceover tells us that “Getting dressed can be rough on sensitive skin”. The ad then goes on to inform viewers that “Downy Free and Gentle has no perfumes, no dyes, and softens clothes for sensitive skin”.Ad Music: Time. Singer: Angelo De Augustine.Download or stream from Amazon.This Free & Gentle 2019 Downy commercial song we hear playing softly in the background is a tune called ‘Time’ that was released for download last year by American singer-songwriter Angelo De Augustine. This piece of music now also features on the Los Angeles-based artist’s third album ‘Tomb’.July 12 2019"
9,Travis Mathew,,Kairo & Sha’Ki,We Came To Win,2019,Travis Mathew Commercial Song – Golf Nooners,https://www.tvadvertmusic.com/video-travismathew-commercial-golf/,"Titled ‘The Starter – Nooners’, this new TV commercial for apparel brand Travis Mathew sees a man changing between a large selection of clothing combinations to find an outfit that pleases the golf course monitor.By the time the actor finally wears something acceptable, the golf course is about to close. However, this turns out to be great timing as he catches the eye of a young woman who’s driving past in a golf cart. We’re not currently aware of the actor’s names.Ad Music: We Came To Win. Artist: Kairo & Sha’Ki.Stream or download from Amazon.This 2019 TravisMathew commercial song that plays towards the end of the video is a track called ‘We Came To Win’ that was recorded by King Kairo & Sha’Ki, taken from the album ‘Round One: Glory’.July 12 2019"
10,Cadillac,,French 79 feat. Sarah Rebecca,Diamond Veins,2019,2019 Cadillac Commercial Song – Made For Summer Nights,https://www.tvadvertmusic.com/video-cadillac-commercial-made-move-summer/,"Released in July 2019 and featuring an electronic dance music soundtrack, this new Cadillac TV commercial tells viewers that their cars are ‘Made For Summer Nights’.Titled ‘Made to Move – Summer Lights’, the 60-second ad video shows the manufacturers latest range of vehicles being driven around shaded country roads and artificially lit city streets, as actors enjoy fairground rides and watch fireworks in the night sky.Ad Music: Diamond Veins. Artist: French 79 feat. Sarah Rebecca.Download or stream from Amazon.This Made to Move Sales event 2019 Cadillac commercial song is a tune called ‘Diamond Veins’ that was recorded by the Marseille-based music artist Simon Henner, who releases songs under the name of French 79. Originally released in 2016, the single features vocals from American singer Sarah Rebecca.July 12 2019"
